_id,total_trip,pool_completed,pool_not_completed,time_stamp
5da0a1cc7fd173b6e88c96f4,2095,2081,14,2019-10-11 11:37:48
5da0a22b01d80d73379be045,2096,2082,14,2019-10-11 11:39:23
5da5de3612a02a8209582c85,7627,7541,86,2019-10-15 10:56:54
5da65518bbbd0343ef03b15b,7986,7885,101,2019-10-15 19:24:08
5da9ebafdfea6719c94ade85,10888,10701,187,2019-10-18 12:43:27
5daa1c34c89bf31d07f71509,10921,10734,187,2019-10-18 16:10:28
5daa1fcbc88ed95b136cb83d,10921,10734,187,2019-10-18 16:25:47
5daa1fda2f3698bc8b1bd653,10921,10734,187,2019-10-18 16:26:02
